Data Medicao,TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),VENTO; VELOCIDADE MEDIA DIARIA (AUT)(m/s),has_Foco
21/08,25.258333,57.083333,0.7375,0
22/08,25.741667,49.875,1.033333,0
23/08,24.566667,65.5,1.616667,0
24/08,21.570833,88.25,1.5625,0
25/08,21.033333,83.083333,0.975,0
26/08,23.479167,67.291667,1.008333,0
27/08,21.654167,87.458333,1.395833,0
28/08,21.108333,81.583333,1.1375,0
29/08,22.491667,75.125,0.641667,0
30/08,23.55,76.916667,0.875,0
31/08,23.420833,70.916667,0.670833,0
01/09,23.366667,67.333333,1.083333,0
02/09,22.683333,74.0,1.125,0
03/09,21.283333,81.041667,0.770833,0
04/09,22.754167,71.5,1.570833,0
05/09,21.1375,88.0,1.1375,0
06/09,22.754167,71.125,0.608333,0
07/09,23.333333,68.0,0.958333,0
08/09,23.079167,70.75,0.454167,0
09/09,23.870833,61.625,1.1,0
10/09,23.45,62.625,1.183333,0
11/09,23.104167,66.083333,0.891667,0
12/09,24.466667,60.291667,1.004167,0
13/09,24.0375,61.583333,1.175,0
14/09,23.279167,63.375,0.904167,0
15/09,24.370833,65.833333,0.5875,0
16/09,23.329167,70.166667,0.633333,0
17/09,25.191667,64.25,1.245833,0
18/09,24.429167,67.333333,1.170833,0
19/09,24.191667,59.541667,0.804167,0
20/09,23.866667,62.208333,0.545833,0
21/09,25.654167,59.125,0.616667,0
22/09,24.1625,76.125,0.841667,0
23/09,23.033333,79.916667,0.920833,0
24/09,23.791667,75.291667,0.516667,0
25/09,25.133333,67.333333,0.620833,1
26/09,23.225,82.291667,0.425,0
27/09,21.470833,94.166667,0.233333,0
28/09,23.4625,82.958333,0.579167,0
29/09,25.075,69.791667,0.745833,0
30/09,25.0375,69.291667,0.55,0
01/10,24.966667,73.708333,0.6125,0
02/10,25.941667,66.833333,1.1875,0
03/10,23.470833,78.625,1.125,0
04/10,25.55,67.583333,0.6125,0
05/10,26.104167,65.375,0.591667,0
06/10,24.583333,83.875,0.379167,0
07/10,24.845833,82.083333,1.041667,0
08/10,23.870833,86.791667,0.8875,0
09/10,23.033333,89.125,0.795833,0
10/10,24.716667,70.666667,0.933333,0
11/10,23.083333,80.25,0.904167,0
12/10,22.341667,83.375,0.883333,0
13/10,22.054167,86.5,0.904167,0
14/10,23.891667,74.0,0.7,0
15/10,24.629167,65.208333,0.945833,0
16/10,24.491667,64.208333,0.741667,0
17/10,24.75,68.083333,0.766667,0
18/10,25.145833,67.75,0.670833,0
19/10,24.908333,69.375,0.758333,0
20/10,24.6125,69.541667,0.441667,0
21/10,23.716667,72.75,0.591667,0
22/10,25.433333,65.916667,0.658333,0
23/10,26.1375,61.541667,1.1,0
24/10,25.579167,57.583333,1.029167,0
25/10,25.575,62.583333,0.883333,0
26/10,25.570833,61.333333,0.758333,0
27/10,25.783333,59.208333,0.708333,0
28/10,26.783333,60.708333,0.5875,0
29/10,25.8125,65.583333,1.0125,0
30/10,26.104167,60.416667,1.320833,0
31/10,26.320833,62.208333,1.254167,0
01/11,25.879167,58.625,1.054167,0
02/11,26.758333,56.958333,1.354167,0
03/11,25.8125,56.666667,1.379167,0
04/11,26.470833,54.625,1.0375,0
05/11,23.104167,81.208333,1.2,0
06/11,24.675,70.375,1.195833,0
07/11,23.729167,76.416667,0.7375,0
08/11,24.733333,69.5,0.725,0
09/11,25.075,70.25,0.695833,0
10/11,25.183333,71.666667,0.804167,0
11/11,24.633333,74.5,0.404167,0
12/11,24.0,70.125,0.0,0
13/11,24.0,71.0,0.0,0
14/11,24.0,71.0,0.0,0
15/11,24.0,71.0,0.0,0
16/11,24.0,71.0,0.0,0
17/11,24.0,71.0,0.0,0
18/11,24.0,71.0,0.0,0
19/11,24.0,71.0,0.0,0
20/11,24.0,71.0,0.0,0
21/11,24.0,71.0,0.0,0
22/11,24.0,65.833333,0.0,0
23/11,24.0,64.846154,0.0,0
24/11,24.0,52.25,0.0,0
25/11,24.0,45.583333,0.0,0
26/11,24.0,49.692308,0.0,0
27/11,24.0,47.357143,0.0,0
28/11,24.0,47.833333,0.0,0
29/11,24.0,44.0,0.0,0
30/11,24.0,45.416667,0.0,0
01/12,24.0,48.230769,0.0,0
02/12,24.0,46.6,0.0,0
03/12,24.0,56.461538,0.0,0
04/12,24.0,58.230769,0.0,0
05/12,24.0,54.066667,0.0,0
06/12,24.0,57.928571,0.0,0
07/12,24.0,60.0,0.0,0
08/12,24.0,62.0,0.0,0
09/12,24.0,61.6875,0.0,0
10/12,24.0,58.833333,0.6888890000000001,0
11/12,24.0,60.421053,0.752632,0
12/12,24.0,65.26315799999999,1.0684209999999998,0
13/12,24.0,72.368421,0.384211,0
14/12,24.0,51.25,0.0,0
15/12,24.0,52.6,1.08,0
16/12,24.0,53.77777800000001,1.388889,0
17/12,24.0,56.411765,0.0,0
18/12,25.763636,65.409091,1.142857,0
19/12,26.254167,58.958333,1.3875,0
20/12,25.3875,66.083333,0.908333,0
21/12,26.875,54.208333,1.8458330000000005,0
22/12,25.495833,68.958333,1.1375,0
23/12,25.7,67.0,1.116667,0
24/12,25.333333,72.583333,0.470833,0
25/12,26.858333,58.25,0.875,0
26/12,26.9,59.875,0.8,0
27/12,27.395833000000003,60.625,0.858333,0
28/12,26.675,59.541667,1.266667,0
29/12,26.3375,61.666667,1.1625,0
30/12,26.704167,59.166667,1.1125,0
31/12,27.858333,52.375,1.3875,0
01/01,27.366667,55.166667,1.1375,0
02/01,28.158333,53.458333,0.729167,0
03/01,28.733333,51.416667,0.929167,0
04/01,27.333333000000003,57.333333,0.9625,0
05/01,28.166667,53.583333,1.520833,0
06/01,27.25,54.416667,0.883333,0
07/01,27.233333,53.875,1.516667,0
08/01,27.4625,49.958333,1.333333,0
09/01,27.833333000000003,51.291667,0.8625,0
10/01,24.0,71.0,0.0,0
11/01,24.0,71.0,0.0,0
12/01,24.0,71.0,0.0,0
13/01,24.0,71.0,0.0,0
14/01,24.0,71.0,0.0,0
15/01,24.0,71.0,0.0,0
16/01,24.0,71.0,0.0,0
17/01,24.0,71.0,0.0,0
18/01,24.0,71.0,0.0,0
19/01,24.0,71.0,0.0,0
20/01,24.0,71.0,0.0,0
21/01,24.0,71.0,0.0,0
22/01,24.0,71.0,0.0,0
23/01,24.0,71.0,0.0,0
24/01,24.0,71.0,0.0,0
25/01,24.0,71.0,0.0,0
26/01,24.0,71.0,0.0,0
27/01,24.0,71.0,0.0,0
28/01,24.0,71.0,0.0,0
29/01,24.0,71.0,0.0,0
30/01,24.0,71.0,0.0,0
31/01,24.0,71.0,0.0,0
01/02,24.0,71.0,0.0,0
02/02,24.0,71.0,0.0,0
03/02,24.0,71.0,0.0,0
04/02,24.0,71.0,0.0,0
05/02,24.0,71.0,0.0,0
06/02,24.0,71.0,0.0,0
07/02,24.0,71.0,0.0,0
08/02,24.0,71.0,0.0,0
09/02,24.0,71.0,0.0,0
10/02,24.0,71.0,0.0,0
11/02,24.0,71.0,0.0,0
12/02,24.0,71.0,0.0,0
13/02,24.0,71.0,0.0,0
14/02,24.0,71.0,0.0,0
15/02,24.0,71.0,0.0,0
16/02,24.0,71.0,0.0,0
17/02,24.0,71.0,0.0,0
18/02,24.0,71.0,0.0,0
19/02,24.0,71.0,0.0,0
20/02,24.0,71.0,0.0,0
21/02,24.0,71.0,0.0,0
22/02,25.7375,70.666667,0.970833,0
23/02,26.591667,62.5,1.008333,0
24/02,26.0875,65.541667,0.879167,0
